((0, 0),)	18080	1999
((0, 0), (0, 1))	46568	3047
((0, 0), (0, 1), (0, 2))	44165	2464
((0, 0), (0, 1), (0, 2), (0, 3))	22017	1165
((0, 0), (0, 1), (0, 2), (0, 3), (0, 4))	17528	769
((0, 0), (0, 1), (0, 2), (0, 3), (0, 5))	572	25
((0, 0), (0, 1), (0, 2), (0, 3), (0, 6))	44	2
((0, 0), (0, 1), (0, 2), (0, 4))	8410	392
((0, 0), (0, 1), (0, 2), (0, 4), (0, 5))	2445	105
((0, 0), (0, 1), (0, 2), (0, 5))	73	4
((0, 0), (0, 1), (0, 2), (0, 6))	22	1
((0, 0), (0, 1), (0, 3))	7862	454
((0, 0), (0, 1), (0, 3), (0, 4))	4975	260
((0, 0), (0, 1), (0, 3), (0, 4), (0, 5))	1843	81
((0, 0), (0, 1), (0, 3), (0, 5), (0, 6))	10	1
((0, 0), (0, 1), (0, 4))	92	6
((0, 0), (0, 1), (0, 4), (0, 5))	65	3
((0, 0), (0, 1), (0, 5))	65	4
((0, 0), (0, 1), (0, 7))	31	1
((0, 0), (0, 2))	10713	771
((0, 0), (0, 2), (0, 3))	8460	503
((0, 0), (0, 2), (0, 3), (0, 4))	5637	308
((0, 0), (0, 2), (0, 3), (0, 4), (0, 5))	1744	83
((0, 0), (0, 2), (0, 3), (0, 5))	34	2
((0, 0), (0, 2), (0, 4))	67	5
((0, 0), (0, 2), (0, 4), (0, 5))	79	4
((0, 0), (0, 3))	1464	104
((0, 0), (0, 3), (0, 4))	830	46
((0, 0), (0, 3), (0, 4), (0, 5))	151	10
((0, 0), (0, 3), (0, 4), (0, 5), (0, 6))	23	1
((0, 0), (0, 4))	126	9
((0, 0), (0, 4), (0, 5))	13	1
((0, 0), (0, 5))	119	8
((0, 0), (0, 6))	17	1
((0, 0), (0, 6), (0, 7))	26	1
((0, 0), (0, 7))	48	1
((0, 0), (1, 0))	65153	4274
((0, 0), (1, 0), (2, 0))	64516	3681
((0, 0), (1, 0), (2, 0), (3, 0))	45444	2264
((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))	11738	545
