,4984495,104956
A,799618,16604
AA,187610,4485
AAA,14978,431
AAAA,225,7
AAAB,70,3
AAAC,429,12
AAAD,164,5
AAAE,938,33
AAAF,152,4
AAAG,114,4
AAAH,66,3
AAAI,1046,34
AAAJ,185,7
AAAK,227,6
AAAL,148,5
AAAM,36,1
AAAN,557,20
AAAO,507,17
AAAP,172,4
AAAQ,439,15
AAAR,339,11
AAAS,75,2
AAAT,234,7
AAAU,234,9
AAAV,203,6
AAAW,53,1
AAAX,80,1
AAAY,58,2
AAAZ,187,5
AAB,5359,141
AABC,47,3
AABD,280,6
AABE,184,6
AABF,51,2
AABG,166,5
AABH,64,2
AABI,207,8
AABJ,87,3
AABK,64,3
AABL,134,6
AABM,313,8
AABN,230,6
AABO,229,8
AABP,169,4
AABQ,149,4
AABR,156,6
AABS,67,2
AABT,183,5
AABU,194,6
AABV,243,9
AABW,49,3
AABX,47,2
AABY,99,3
AABZ,210,8
AAC,10559,290
AACD,137,3
AACE,421,11
AACF,90,3
AACG,360,10
AACH,74,2
AACI,775,22
AACJ,183,6
AACK,96,4
AACL,191,7
AACM,142,3
AACN,280,10
AACO,422,13
AACP,340,9
AACQ,401,14
AACR,408,14
AACS,56,2
AACT,245,9
AACU,286,9
AACV,193,11
AACW,145,5
AACX,66,2
AACZ,111,3
AAD,6517,185
AADE,216,8
AADF,65,2
AADG,78,3
AADH,134,3
AADI,286,10
AADJ,135,5
AADK,85,4
AADL,267,8
AADM,110,3
AADN,290,10
AADO,345,11
AADP,41,1
AADQ,4,1
AADR,343,11
AADS,33,1
AADT,247,7
AADU,158,7
AADV,128,4
AADW,117,3
AADX,42,2
AADY,20,1
AADZ,31,1
AAE,35060,899
AAEE,1310,44
AAEF,299,13
AAEG,544,18
AAEH,190,6
AAEI,1989,63
AAEJ,286,7
AAEK,411,11
AAEL,351,11
AAEM,226,7
AAEN,1115,39
AAEO,1402,44
AAEP,191,5
AAEQ,1210,46
AAER,719,21
AAES,335,9
AAET,619,20
AAEU,565,21
AAEV,434,15
AAEW,323,8
AAEX,77,2
AAEY,281,9
AAEZ,230,8
AAF,5635,151
AAFG,189,6
AAFH,28,1
AAFI,551,14
AAFJ,92,3
AAFK,141,5
AAFL,141,7
AAFM,120,3
AAFN,351,15
AAFO,273,9
AAFP,81,3
AAFQ,317,9
AAFR,119,5
AAFT,165,5
AAFU,182,8
AAFV,162,5
AAFW,298,7
AAFY,38,1
AAFZ,89,3
AAG,9766,268
AAGH,104,4
AAGI,846,30
AAGJ,127,7
AAGK,78,3
AAGL,334,13
AAGM,48,2
AAGN,513,17
AAGO,366,12
AAGP,190,6
AAGQ,346,13
AAGR,525,15
AAGS,108,3
AAGT,382,12
AAGU,235,7
AAGV,119,5
AAGW,89,4
AAGX,84,4
AAGY,35,1
AAGZ,17,2
AAH,3085,77
AAHI,99,5
AAHL,16,1
AAHM,9,1
AAHN,215,5
AAHO,210,7
AAHP,85,2
AAHQ,162,5
AAHR,140,4
AAHT,175,5
AAHU,168,4
AAHV,157,5
AAHW,22,1
AAHX,80,2
AAHZ,46,1
AAI,38854,1059
AAII,1515,50
AAIJ,712,22
AAIK,368,13
AAIL,701,27
AAIM,119,3
AAIN,1283,42
AAIO,1575,55
AAIP,385,9
AAIQ,1077,35
AAIR,901,28
AAIS,156,7
AAIT,1075,32
AAIU,1047,39
AAIV,314,14
AAIW,154,8
AAIX,451,17
AAIY,205,8
AAIZ,254,6
AAJ,9175,241
AAJK,212,6
AAJL,173,5
AAJM,111,3
AAJN,473,12
AAJO,341,10
AAJP,152,3
AAJQ,493,17
AAJR,209,8
AAJT,140,5
AAJU,401,13
AAJV,262,9
AAJW,73,2
AAJX,58,3
AAJY,151,6
AAJZ,155,5
AAK,5522,135
AAKL,37,2
AAKN,131,5
AAKO,122,4
AAKP,29,1
AAKQ,251,9
AAKR,74,2
AAKT,306,9
AAKU,103,4
